u,i,ts,label,idx,original_date
59,4118,1552263932.0,3,169,2019-03-11 00:25:32
59,4118,1552263937.0,3,170,2019-03-11 00:25:37
7,4118,1552263942.0,3,171,2019-03-11 00:25:42
46,4125,1552263945.0,1,172,2019-03-11 00:25:45
74,4140,1552263955.0,3,173,2019-03-11 00:25:55
42,4141,1552263958.0,0,174,2019-03-11 00:25:58
50,4127,1552263987.0,1,175,2019-03-11 00:26:27
29,4118,1552263995.0,3,176,2019-03-11 00:26:35
53,4142,1552264007.0,3,177,2019-03-11 00:26:47
75,4118,1552264007.0,3,178,2019-03-11 00:26:47
67,4143,1552264012.0,3,179,2019-03-11 00:26:52
37,4118,1552264040.0,3,180,2019-03-11 00:27:20
76,4144,1552264067.0,0,181,2019-03-11 00:27:47
50,4131,1552264080.0,1,182,2019-03-11 00:28:00
77,4145,1552264081.0,3,183,2019-03-11 00:28:01
56,4125,1552264102.0,1,184,2019-03-11 00:28:22
52,4146,1552264108.0,3,185,2019-03-11 00:28:28
21,4118,1552264117.0,3,186,2019-03-11 00:28:37
16,4118,1552264119.0,3,187,2019-03-11 00:28:39
78,4118,1552264119.0,3,188,2019-03-11 00:28:39
71,4118,1552264120.0,3,189,2019-03-11 00:28:40
11,4118,1552264125.0,3,190,2019-03-11 00:28:45
27,4118,1552264126.0,3,191,2019-03-11 00:28:46
29,4118,1552264128.0,3,192,2019-03-11 00:28:48
7,4118,1552264130.0,3,193,2019-03-11 00:28:50
3,4118,1552264133.0,3,194,2019-03-11 00:28:53
67,4143,1552264138.0,3,195,2019-03-11 00:28:58
5,4118,1552264139.0,3,196,2019-03-11 00:28:59
13,4118,1552264142.0,3,197,2019-03-11 00:29:02
69,4118,1552264142.0,3,198,2019-03-11 00:29:02
59,4118,1552264142.0,3,199,2019-03-11 00:29:02
5,4118,1552264150.0,3,200,2019-03-11 00:29:10
50,4139,1552264155.0,1,201,2019-03-11 00:29:15
35,4118,1552264155.0,3,202,2019-03-11 00:29:15
52,4147,1552264169.0,3,203,2019-03-11 00:29:29
79,4118,1552264171.0,3,204,2019-03-11 00:29:31
80,4148,1552264172.0,0,205,2019-03-11 00:29:32
18,4118,1552264182.0,3,206,2019-03-11 00:29:42
81,4118,1552264202.0,3,207,2019-03-11 00:30:02
42,4149,1552264203.0,0,208,2019-03-11 00:30:03
82,4118,1552264222.0,3,209,2019-03-11 00:30:22
83,4118,1552264234.0,3,210,2019-03-11 00:30:34
37,4118,1552264242.0,3,211,2019-03-11 00:30:42
46,4125,1552264249.0,1,212,2019-03-11 00:30:49
37,4118,1552264249.0,3,213,2019-03-11 00:30:49
84,4118,1552264253.0,3,214,2019-03-11 00:30:53
76,4150,1552264259.0,0,215,2019-03-11 00:30:59
38,4118,1552264267.0,3,216,2019-03-11 00:31:07
50,4127,1552264288.0,1,217,2019-03-11 00:31:28
77,4151,1552264303.0,3,218,2019-03-11 00:31:43
7,4118,1552264317.0,3,219,2019-03-11 00:31:57
63,4152,1552264325.0,3,220,2019-03-11 00:32:05
53,4153,1552264326.0,3,221,2019-03-11 00:32:06
66,4136,1552264329.0,3,222,2019-03-11 00:32:09
67,4128,1552264339.0,3,223,2019-03-11 00:32:19
2,4118,1552264343.0,3,224,2019-03-11 00:32:23
42,4154,1552264348.0,0,225,2019-03-11 00:32:28
50,4131,1552264382.0,1,226,2019-03-11 00:33:02
85,4118,1552264394.0,3,227,2019-03-11 00:33:14
56,4125,1552264404.0,1,228,2019-03-11 00:33:24
71,4118,1552264421.0,3,229,2019-03-11 00:33:41
27,4118,1552264422.0,3,230,2019-03-11 00:33:42
86,4118,1552264422.0,3,231,2019-03-11 00:33:42
51,4118,1552264425.0,3,232,2019-03-11 00:33:45
7,4118,1552264428.0,3,233,2019-03-11 00:33:48
4,4118,1552264430.0,3,234,2019-03-11 00:33:50
7,4118,1552264434.0,3,235,2019-03-11 00:33:54
14,4118,1552264437.0,3,236,2019-03-11 00:33:57
