metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_f1_random_cc,25,0.8617760458935666,0.8747833051266762,0.013007259233109613,-0.007459252837665091,0.03347377130388432,0.26233745671078196,1.31168728355391,0.20203533909748037,95.0,0.0709836483001709,1.0,
test_auc_historical,25,0.8576824572618129,0.8732975739795621,0.015615116717749098,-0.002803869071141319,0.03403410250663952,0.34994344751440887,1.749717237572044,0.09294486036619193,84.0,0.034173786640167236,1.0,
test_ap_historical,25,0.8126357756688555,0.8450538164325431,0.03241804076368737,0.0036194767808757286,0.061216604746499016,0.46465891662450015,2.3232945831225003,0.028958826761326377,75.0,0.017312347888946533,1.0,
test_link_acc_historical,25,0.7885889809848855,0.7986445636274988,0.010055582642613357,-0.012422273648288655,0.03253343893351537,0.18465909100790512,0.9232954550395255,0.365043279430433,129.0,0.3809836506843567,1.0,
test_link_f1_historical,25,0.8053224284239359,0.8137250045061996,0.008402576082263748,-0.00938482055133697,0.026189972715864464,0.1949927248757102,0.9749636243785509,0.33930358062513016,125.0,0.325391948223114,1.0,
test_auc_inductive,25,0.8823471552448163,0.8972684612588643,0.014921306014047927,-0.0035716698000536253,0.03341428182814948,0.33305685715029176,1.665284285751459,0.10885807586753693,88.0,0.04512268304824829,1.0,
test_ap_inductive,25,0.8749309991240304,0.8959192170298812,0.020988217905850756,-0.002616930854923861,0.044593366666625375,0.36701783315174863,1.8350891657587431,0.07891702264987736,95.0,0.0709836483001709,1.0,
test_link_acc_inductive,25,0.7847196489517309,0.7954987810823988,0.01077913213066796,-0.00850622877409455,0.03006449303543047,0.23071422318666723,1.1535711159333362,0.26003526782158326,106.0,0.13364005088806152,1.0,
test_link_f1_inductive,25,0.8022304734614397,0.8113236713167785,0.009093197855338646,-0.006155410931369332,0.024341806642046625,0.2461527898937483,1.2307639494687417,0.2303374302311347,107.0,0.14091521501541138,1.0,
test_c0_acc,25,0.926453172205438,0.9453293051359517,0.01887613293051362,-0.003318568231214715,0.04107083409224196,0.35106058261838474,1.7553029130919235,0.09196588319841394,90.0,0.051055146739371574,1.0,
test_c1_acc,25,0.9718019801980199,0.8967920792079208,-0.07500990099009903,-0.14150105609102795,-0.00851874588917012,-0.4656644226629269,-2.3283221133146346,0.02864597397264527,50.0,0.07012823687187793,1.0,
test_c2_acc,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_acc,25,0.9224289862391112,0.9108900391364726,-0.011538947102638551,-0.04485284252814675,0.02177494832286965,-0.1429746718217914,-0.7148733591089571,0.4815838786824554,122.0,0.4237107971667934,1.0,
test_c0_precision,25,0.8421215951274966,0.788114552365498,-0.05400704276199862,-0.13258400574936918,0.024569920225371952,-0.2837092543069846,-1.4185462715349229,0.16888734161720373,120.0,0.2634761333465576,1.0,
test_c1_precision,25,0.8277770064485389,0.8657690141830294,0.03799200773449042,-0.10094666751401267,0.17693068298299353,0.1128723157556094,0.5643615787780469,0.5777449266909855,84.0,0.6580087852326646,1.0,
