metric,n,mean_cat_dyrep,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
nntest_c1_precision,10,0.7636747373623314,0.859126610701874,0.09545187333954262,-0.23228946077724832,0.4231932074563336,0.20834160868139556,0.6588340148167195,0.5264969430241644,9.0,0.46875,1.0,
nntest_c2_precision,10,0.8508968609865472,0.6449791144527987,-0.20591774653374842,-0.5868686164560895,0.1750331233885926,-0.3866763241014851,-1.2227779014221543,0.2524665465124323,5.0,0.3125,1.0,
nntest_c3_precision,10,0.9842823804387162,0.9940820954868836,0.009799715048167502,0.00524130717965997,0.014358122916675034,1.5378820935886341,4.863210188528315,0.0008918592409202653,1.0,0.00390625,0.05529527293705645,
nntest_c0_auc,10,0.9470305069896072,0.9827788115313677,0.03574830454176057,0.003477970291524697,0.06801863879199643,0.7924552727712755,2.5059636057672443,0.03353210292627261,1.0,0.00390625,1.0,
nntest_c1_auc,10,1.0,0.9990759813743342,-0.0009240186256658234,-0.002592162322787574,0.0007441250714559271,-0.3962506984596576,-1.2530547315650922,0.24176143533262254,0.0,0.015625,1.0,
nntest_c2_auc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_auc,10,0.9553133283514749,0.9881962734758332,0.03288294512435843,0.024298915558255987,0.04146697469046087,2.7403262887460884,8.66567260447388,1.1624664038471793e-05,0.0,0.001953125,0.0007556031625006666,*
nntest_c0_recall,10,0.7730864197530863,0.9069135802469136,0.1338271604938272,0.07807827678751982,0.18957604420013457,1.7172394692249686,5.430388010689523,0.00041616113586862344,0.0,0.001953125,0.0266343126955919,*
nntest_c1_recall,10,1.0,0.8611940298507463,-0.13880597014925372,-0.28442475910927006,0.006812818810762622,-0.6818887181069127,-2.1563214599903433,0.05942220574096655,0.0,0.03125,1.0,
nntest_c2_recall,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_recall,10,0.942231543624161,0.9134731543624162,-0.02875838926174492,-0.0798125089893631,0.02229573046587325,-0.40295499114938127,-1.2742555665650352,0.234490440516629,17.0,0.322265625,1.0,
