metric,n,mean_cat_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_c3_auc,10,0.9854805709379264,0.9924938339798743,0.007013263041947914,-0.010278741809620127,0.024305267893515954,0.29013328376387376,0.9174820017177912,0.38281824512848867,23.0,0.6953125,1.0,
test_c0_recall,10,0.9470694864048339,0.9589123867069486,0.011842900302114778,-0.006755359035585058,0.030441159639814613,0.4555211519535489,1.4404843625568733,0.18359722067104237,13.0,0.16015625,1.0,
test_c1_recall,10,0.982970297029703,0.8647524752475247,-0.11821782178217824,-0.25681138971535156,0.020375746150995078,-0.6101865799534594,-1.9295793903213716,0.08573028393445001,8.5,0.10546875,1.0,
test_c2_recall,10,0.9994252873563217,1.0,0.0005747126436781546,-0.0007253776797690756,0.0018748029671253848,0.3162277660168379,1.0,0.3434363961379136,0.0,1.0,1.0,
test_c3_recall,10,0.9033329125110466,0.9055043555106679,0.0021714429996212313,-0.04858299275673033,0.05292587875597279,0.030605339662480857,0.09678258189652847,0.9250200019229124,26.0,0.921875,1.0,
nntest_c0_acc,10,0.8869135802469137,0.9069135802469136,0.020000000000000028,-0.04608650894438927,0.08608650894438934,0.21649105616174294,0.6846048305265376,0.5108366565289096,20.5,0.5078125,1.0,
nntest_c1_acc,10,0.9805970149253731,0.8611940298507463,-0.11940298507462685,-0.27640243640860296,0.03759646625934926,-0.5440512641343337,-1.7204411585583697,0.1194628883255228,2.0,0.1875,1.0,
nntest_c2_acc,10,0.975,1.0,0.025,-0.03155392906995512,0.08155392906995512,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
nntest_c3_acc,10,0.8924161073825504,0.9134731543624162,0.021057046979865757,-0.036897905031066644,0.07901199899079817,0.25991400999787234,0.8219202673810526,0.43235664332996393,21.0,0.556640625,1.0,
nntest_c0_precision,10,0.5767193425153254,0.5334903897257313,-0.04322895278959417,-0.16490034239461637,0.07844243681542802,-0.254161064620894,-0.8037278567352649,0.4422641262219183,22.0,0.625,1.0,
nntest_c1_precision,10,0.5702751447317491,0.859126610701874,0.2888514659701246,-0.02906748735156528,0.6067704192918145,0.6499514697772557,2.055327013070219,0.07000768675845127,10.0,0.080078125,1.0,
nntest_c2_precision,10,0.6125338753387534,0.6449791144527987,0.03244523911404531,-0.4693429972143952,0.5342334754424858,0.04625442404933147,0.14626933185515595,0.8869326149877061,18.0,1.0,1.0,
nntest_c3_precision,10,0.9922664201188564,0.9940820954868836,0.001815675368027425,-0.0028976042982547788,0.006528955034309629,0.27557369930984243,0.8714405530574731,0.4061591469559656,18.0,0.375,1.0,
nntest_c0_auc,10,0.9820355324649805,0.9827788115313677,0.0007432790663874256,-0.006053992265038308,0.007540550397813159,0.07822400891155046,0.24736603586980824,0.8101757028164344,27.0,1.0,1.0,
nntest_c1_auc,10,0.9891822095363972,0.9990759813743342,0.009893771837936993,-0.01320855486239559,0.032996098538269576,0.3063578011934362,0.9687884307323089,0.3579630953462496,15.0,0.42578125,1.0,
nntest_c2_auc,10,0.9999611318407962,1.0,3.886815920397524e-05,-4.905772554407829e-05,0.00012679404395202876,0.316227766016838,1.0000000000000002,0.3434363961379133,0.0,1.0,1.0,
nntest_c3_auc,10,0.9745333737521854,0.9881962734758332,0.01366289972364787,-0.010267001948428445,0.037592801395724185,0.4084366833943679,1.2915901994912748,0.22868116121853982,13.0,0.16015625,1.0,
nntest_c0_recall,10,0.8869135802469137,0.9069135802469136,0.020000000000000028,-0.04608650894438927,0.08608650894438934,0.21649105616174294,0.6846048305265376,0.5108366565289096,20.5,0.5078125,1.0,
nntest_c1_recall,10,0.9805970149253731,0.8611940298507463,-0.11940298507462685,-0.27640243640860296,0.03759646625934926,-0.5440512641343337,-1.7204411585583697,0.1194628883255228,2.0,0.1875,1.0,
nntest_c2_recall,10,0.975,1.0,0.025,-0.03155392906995512,0.08155392906995512,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
nntest_c3_recall,10,0.8924161073825504,0.9134731543624162,0.021057046979865757,-0.036897905031066644,0.07901199899079817,0.25991400999787234,0.8219202673810526,0.43235664332996393,21.0,0.556640625,1.0,
