metric,n,mean_cat_tgn_last,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_c1_acc,25,0.9793267326732672,0.8967920792079208,-0.08253465346534654,-0.14340963235146115,-0.021659674579231944,-0.5596491553295666,-2.798245776647833,0.00996971507580942,57.0,0.023954977404240428,0.6480314799276123,
test_c2_acc,25,0.9997701149425288,1.0,0.00022988505747126187,-0.00024457438198345117,0.000704344496925975,0.2,1.0000000000000002,0.32728688127978495,0.0,0.31731050786291415,1.0,
test_c3_acc,25,0.8996540840802928,0.9108900391364726,0.011235955056179768,-0.02325567194046215,0.04572758205282169,0.13446667204898338,0.6723333602449169,0.5077932349437364,137.0,0.507703959941864,1.0,
test_c0_precision,25,0.7962141419177924,0.788114552365498,-0.008099589552294369,-0.0783839324271264,0.06218475332253766,-0.04756886254603877,-0.23784431273019385,0.8140206765985454,158.0,0.9158032536506653,1.0,
test_c1_precision,25,0.7723241921307162,0.8657690141830294,0.09344482205231315,-0.032354833067947605,0.2192444771725739,0.3066155207516058,1.5330776037580287,0.13833430150121928,81.0,0.048674875673469,1.0,
test_c2_precision,25,0.7906278923145238,0.7359133684026036,-0.054714523911920256,-0.20401754886612586,0.09458850104228536,-0.15126984498353052,-0.7563492249176527,0.4568005292898919,122.5,0.4320114000125168,1.0,
test_c3_precision,25,0.9891714459186791,0.9878541001714882,-0.0013173457471908501,-0.005273964378547612,0.0026392728841659113,-0.13743391749948192,-0.6871695874974096,0.49856292735085006,156.0,0.8739878535270691,1.0,
test_c0_auc,25,0.9889454296353545,0.989869234876695,0.0009238052413405118,-0.0036780737367223294,0.005525684219403353,0.0828635571650653,0.41431778582532647,0.6823210962995288,141.0,0.5782062411308289,1.0,
test_c1_auc,25,0.9944473703985784,0.9900517085554708,-0.004395661843107437,-0.017275885800460213,0.00848456211424534,-0.14087022376988553,-0.7043511188494276,0.48799306348530125,92.0,0.2626860925759784,1.0,
test_c2_auc,25,0.9999751666672368,0.9999914029692821,1.6236302045382624e-05,-1.7110258639085877e-05,4.958286272985113e-05,0.2009807293453865,1.0049036467269326,0.3249680931009841,10.0,0.1386406338132186,1.0,
test_c3_auc,25,0.987511763281081,0.9896189859870507,0.002107222705969485,-0.00519934891670311,0.009413794328642078,0.11904608991677888,0.5952304495838945,0.5572608585569139,151.0,0.7711594104766846,1.0,
test_c0_recall,25,0.9492930513595167,0.9453293051359517,-0.003963746223564937,-0.020460454584840134,0.012532962137710258,-0.09918063592222968,-0.4959031796111484,0.6244736127325643,161.0,0.9678000011114964,1.0,
test_c1_recall,25,0.9793267326732672,0.8967920792079208,-0.08253465346534654,-0.14340963235146115,-0.021659674579231944,-0.5596491553295666,-2.798245776647833,0.00996971507580942,57.0,0.023954977404240428,0.6480314799276123,
test_c2_recall,25,0.9997701149425288,1.0,0.00022988505747126187,-0.00024457438198345117,0.000704344496925975,0.2,1.0000000000000002,0.32728688127978495,0.0,0.31731050786291415,1.0,
test_c3_recall,25,0.8996540840802928,0.9108900391364726,0.011235955056179768,-0.02325567194046215,0.04572758205282169,0.13446667204898338,0.6723333602449169,0.5077932349437364,137.0,0.507703959941864,1.0,
nntest_c0_acc,25,0.9022222222222221,0.8807901234567901,-0.02143209876543206,-0.06888257070796067,0.026018373177096536,-0.18644146624387742,-0.9322073312193871,0.3605132066258523,128.0,0.3531708132792145,1.0,
nntest_c1_acc,25,0.9785074626865672,0.8997014925373135,-0.07880597014925375,-0.14318949429776656,-0.01442244600074094,-0.5052458081156554,-2.526229040578277,0.01853722217006325,20.0,0.01274639741521499,1.0,
nntest_c2_acc,25,0.99,1.0,0.01,-0.010638985616280247,0.03063898561628025,0.19999999999999998,0.9999999999999998,0.3272868812797852,0.0,0.31731050786291415,1.0,
nntest_c3_acc,25,0.8848657718120805,0.908724832214765,0.023859060402684547,-0.013171792746796702,0.060889913552165796,0.2659548795601357,1.3297743978006786,0.19609361986266236,105.0,0.12664812803268433,1.0,
nntest_c0_precision,25,0.5194150161502571,0.5967253323575012,0.07731031620724411,-0.0354518775664905,0.19007250998097874,0.2830038066469489,1.4150190332347443,0.1699078293783302,117.0,0.23036134243011475,1.0,
nntest_c1_precision,25,0.5712200508239949,0.754762706681818,0.18354265585782312,-0.0027427195403002536,0.3698280312559465,0.40670226807956367,2.0335113403978182,0.05320051917689424,69.0,0.03580656295319579,1.0,
nntest_c2_precision,25,0.5373807816795861,0.49383031634002017,-0.04355046533956597,-0.2922926551931947,0.20519172451406273,-0.07227060501915904,-0.36135302509579514,0.7209972720072677,102.0,0.6389064772442071,1.0,
nntest_c3_precision,25,0.9938127494745388,0.993312242044791,-0.0005005074297477208,-0.0030609693512935426,0.002059954491798101,-0.08068829734572361,-0.403441486728618,0.6901953979116269,142.0,0.5964998602867126,1.0,
nntest_c0_auc,25,0.9777878655751867,0.9834531955268152,0.005665329951628526,-0.0005260435217443477,0.0118567034250014,0.3777083191185515,1.8885415955927574,0.07109848462426471,107.0,0.14091521501541138,1.0,
nntest_c1_auc,25,0.9933215692615585,0.9857104491672584,-0.007611120094300072,-0.02681043532905438,0.011588195140454236,-0.1636368758253278,-0.8181843791266389,0.42130147005533314,97.0,0.5202133776633694,1.0,
nntest_c2_auc,25,0.9989987562189054,0.9994993781094528,0.000500621890547266,-0.0014003724172911161,0.0024016161983856483,0.10870446014063999,0.5435223007031998,0.5917836122080451,5.0,0.24886387493792206,1.0,
nntest_c3_auc,25,0.9779092549771584,0.9821376402910157,0.004228385313857053,-0.006994270701953362,0.015451041329667467,0.15552393934170564,0.7776196967085282,0.4443916212931304,130.0,0.39571136236190796,1.0,
nntest_c0_recall,25,0.9022222222222221,0.8807901234567901,-0.02143209876543206,-0.06888257070796067,0.026018373177096536,-0.18644146624387742,-0.9322073312193871,0.3605132066258523,128.0,0.3531708132792145,1.0,
nntest_c1_recall,25,0.9785074626865672,0.8997014925373135,-0.07880597014925375,-0.14318949429776656,-0.01442244600074094,-0.5052458081156554,-2.526229040578277,0.01853722217006325,20.0,0.01274639741521499,1.0,
nntest_c2_recall,25,0.99,1.0,0.01,-0.010638985616280247,0.03063898561628025,0.19999999999999998,0.9999999999999998,0.3272868812797852,0.0,0.31731050786291415,1.0,
nntest_c3_recall,25,0.8848657718120805,0.908724832214765,0.023859060402684547,-0.013171792746796702,0.060889913552165796,0.2659548795601357,1.3297743978006786,0.19609361986266236,105.0,0.12664812803268433,1.0,
