metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
test_link_acc_historical,10,0.7837981472452463,0.8071818625060946,0.02338371526084837,-0.007952739015035001,0.05472016953673174,0.5338096662701624,1.6880543824280725,0.1256710527329907,12.0,0.130859375,1.0,
test_link_f1_historical,10,0.7990484177448772,0.8207802340648636,0.02173181631998621,-0.001689483185086653,0.04515311582505907,0.6637550098542138,2.0989776394868223,0.0652264061874174,8.0,0.048828125,1.0,
test_auc_inductive,10,0.8759933052837671,0.9087284522587238,0.03273514697495681,-0.00012319759638167171,0.06559349154629529,0.7126747790248207,2.253675532675627,0.05069787804786753,3.0,0.009765625,1.0,
test_ap_inductive,10,0.8667257711349519,0.9118104689727226,0.045084697837770436,0.005260136234652699,0.08490925944088817,0.8098431885644385,2.5609490234368524,0.030639385875236777,6.0,0.02734375,1.0,
test_link_acc_inductive,10,0.7806387128230131,0.8068844466114091,0.026245733788395887,-0.00721189738590786,0.05970336496269964,0.5611594801791081,1.774542087962094,0.10971745973628648,7.0,0.037109375,1.0,
test_link_f1_inductive,10,0.7969583348754257,0.8205455438776752,0.023587209002249577,-0.0006480299481180299,0.047822447952617184,0.6962288627270469,2.201668978966177,0.05519015205016551,5.0,0.01953125,1.0,
test_c0_acc,10,0.9384894259818731,0.9589123867069486,0.020422960725075545,-0.006661615605933747,0.047507537056084834,0.5394105418707881,1.7057659062173136,0.12224032036042012,13.0,0.154296875,1.0,
test_c1_acc,10,0.9588118811881188,0.8647524752475247,-0.09405940594059409,-0.23550514360598931,0.04738633172480114,-0.4757021789534186,-1.5043023733978165,0.16675968545979702,15.0,0.42578125,1.0,
test_c2_acc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_acc,10,0.9132432773639693,0.9055043555106679,-0.007738921853301384,-0.0498361319176571,0.034358288211054334,-0.13150731803991744,-0.4158626539862891,0.6872512562828953,27.0,1.0,1.0,
test_c0_precision,10,0.8424998267141157,0.7380505680270859,-0.1044492586870299,-0.20763586523499797,-0.0012626521390618206,-0.7241104347253545,-2.289838251226802,0.04778729722054651,9.0,0.064453125,1.0,
test_c1_precision,10,0.8241589823808123,0.9041752969141499,0.08001631453333748,-0.17739455970662538,0.3374271887733003,0.22236909517032874,0.7031928219689868,0.49972038890269144,14.0,0.640625,1.0,
test_c2_precision,10,0.7432627131445189,0.8281599226322441,0.0848972094877252,-0.08084147064664057,0.25063588962209093,0.36643108932354634,1.1587568477590144,0.2763762771758865,12.0,0.25,1.0,
test_c3_precision,10,0.9889621477810102,0.9897694007733915,0.0008072529923810578,-0.007574485481275328,0.009188991466037444,0.06889668590594442,0.21787045070000569,0.8323896167762352,24.0,0.76953125,1.0,
test_c0_auc,10,0.9891390430689242,0.9888273378767651,-0.0003117051921591507,-0.006108331645916218,0.005484921261597917,-0.03846728155019155,-0.12164422509357799,0.9058535160283928,26.0,0.921875,1.0,
test_c1_auc,10,0.9968147042396547,0.9976802843361259,0.0008655800964711303,-0.005746173393879937,0.007477333586822197,0.09365120774466433,0.2961511220987399,0.7738345280609863,21.0,0.91015625,1.0,
test_c2_auc,10,0.9999525681063843,1.0,4.743189361573474e-05,-5.886723374033918e-05,0.00015373102097180865,0.3192004817464094,1.009400552541655,0.3391487205394493,0.0,0.5,1.0,
test_c3_auc,10,0.9830859596051713,0.9924938339798743,0.009407874374702908,-0.005582066478085944,0.024397815227491758,0.4489669419340018,1.4197581306320077,0.1893750562185181,15.0,0.232421875,1.0,
test_c0_recall,10,0.9384894259818731,0.9589123867069486,0.020422960725075545,-0.006661615605933747,0.047507537056084834,0.5394105418707881,1.7057659062173136,0.12224032036042012,13.0,0.154296875,1.0,
test_c1_recall,10,0.9588118811881188,0.8647524752475247,-0.09405940594059409,-0.23550514360598931,0.04738633172480114,-0.4757021789534186,-1.5043023733978165,0.16675968545979702,15.0,0.42578125,1.0,
test_c2_recall,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
test_c3_recall,10,0.9132432773639693,0.9055043555106679,-0.007738921853301384,-0.0498361319176571,0.034358288211054334,-0.13150731803991744,-0.4158626539862891,0.6872512562828953,27.0,1.0,1.0,
nntest_c0_acc,10,0.8567901234567902,0.9069135802469136,0.05012345679012349,-0.023503777855723648,0.12375069143597063,0.4869958940928317,1.5400162364834877,0.15794251459355682,14.0,0.193359375,1.0,
nntest_c1_acc,10,0.9462686567164178,0.8611940298507463,-0.08507462686567163,-0.24574635365522604,0.07559709992388278,-0.37877679581391155,-1.1977973995924922,0.2615880821431992,14.0,0.640625,1.0,
nntest_c2_acc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_acc,10,0.9147147651006712,0.9134731543624162,-0.0012416107382550057,-0.04741569677145769,0.044932475294947684,-0.019235785533456447,-0.06082889486823941,0.9528248539333956,25.0,0.845703125,1.0,
nntest_c0_precision,10,0.7087588887055881,0.5334903897257313,-0.1752684989798569,-0.3674822919780265,0.016945294018312657,-0.6522920607760287,-2.0627286116972305,0.06917387615935615,10.0,0.083984375,1.0,
nntest_c1_precision,10,0.6516381325843466,0.859126610701874,0.20748847811752738,-0.2229572911016485,0.6379342473367032,0.34482465932924317,1.0904313168720376,0.3038553389758646,9.0,0.46875,1.0,
nntest_c2_precision,10,0.4727889478025215,0.6449791144527987,0.17219016665027717,-0.2654505236857322,0.6098308569862865,0.28145788902522506,0.8900479947426202,0.39660794457795645,19.0,0.431640625,1.0,
nntest_c3_precision,10,0.9923605813509548,0.9940820954868836,0.001721514135928992,-0.003086766816813223,0.006529795088671207,0.2561200225125343,0.8099226255132095,0.43887346688360146,22.0,0.625,1.0,
nntest_c0_auc,10,0.9753714450646965,0.9827788115313677,0.007407366466671228,-0.010030306461537332,0.024845039394879788,0.3038771732217116,0.9609439963141353,0.36168459056267466,24.0,0.76953125,1.0,
nntest_c1_auc,10,0.9961075451756759,0.9990759813743342,0.002968436198658153,-0.0022000828324599993,0.008136955229776305,0.41085102364110354,1.2992250137175723,0.22616089358426233,19.0,0.734375,1.0,
nntest_c2_auc,10,0.9998950559701493,1.0,0.0001049440298507398,-0.0001047919214729769,0.0003146799811744565,0.3579378548136835,1.1318988820059042,0.28693291899493656,0.0,0.5,1.0,
nntest_c3_auc,10,0.9726014466189161,0.9881962734758332,0.015594826856917321,-0.0017775479855461837,0.032967201699380826,0.6421613159211934,2.030692383561919,0.0728528867195771,8.0,0.048828125,1.0,
nntest_c0_recall,10,0.8567901234567902,0.9069135802469136,0.05012345679012349,-0.023503777855723648,0.12375069143597063,0.4869958940928317,1.5400162364834877,0.15794251459355682,14.0,0.193359375,1.0,
nntest_c1_recall,10,0.9462686567164178,0.8611940298507463,-0.08507462686567163,-0.24574635365522604,0.07559709992388278,-0.37877679581391155,-1.1977973995924922,0.2615880821431992,14.0,0.640625,1.0,
nntest_c2_recall,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_recall,10,0.9147147651006712,0.9134731543624162,-0.0012416107382550057,-0.04741569677145769,0.044932475294947684,-0.019235785533456447,-0.06082889486823941,0.9528248539333956,25.0,0.845703125,1.0,
