comparison,metric,n,dz_sequential,p_sequential,dz_subsampled_mean,dz_subsampled_q25,dz_subsampled_q75,prob_significant,wilcoxon_floor
BiTA vs Transformer,test_auc_historical,18,0.34710850355975525,0.1591166296178665,0.35365491694608303,0.2564203941763571,0.4303728430475751,0.1425,7.62939453125e-06
BiTA vs Transformer,test_auc_historical,19,0.3432975274401037,0.15187825987686643,0.3458954540364782,0.26235957235433494,0.42117928234957713,0.13,3.814697265625e-06
BiTA vs Transformer,test_auc_historical,20,0.32828343709913305,0.1584302669450489,0.36176383894351605,0.2837101426693649,0.4386544686473405,0.155,1.9073486328125e-06
BiTA vs Transformer,test_auc_historical,21,0.34910603791837747,0.12532044806237969,0.34587378301984745,0.28958084484866187,0.39794911834590213,0.11,9.5367431640625e-07
BiTA vs Transformer,test_auc_historical,22,0.34632990578617995,0.11919955365765952,0.3462937419327538,0.2971521270186964,0.3821196480806466,0.1225,4.76837158203125e-07
BiTA vs Transformer,test_auc_historical,23,0.3486795561030327,0.10864702176424425,0.35187235578487547,0.3140495878375277,0.37324926161262006,0.13,2.384185791015625e-07
BiTA vs Transformer,test_auc_historical,24,0.34642321180650676,0.10316710399222322,0.3505011911671434,0.3213823531441342,0.3641740741846629,0.0725,1.1920928955078125e-07
BiTA vs Transformer,test_auc_historical,25,0.34994344751440887,0.09294486036619193,0.34994344751440887,0.34994344751440887,0.34994344751440887,0.0,5.960464477539063e-08
BiTA vs TGN-Last,test_auc_historical,3,0.7615959182061002,0.3179055790847881,0.8453595451010262,0.17913274212008617,1.3148142889330485,0.07,0.25
BiTA vs TGN-Last,test_auc_historical,4,1.0176815335674108,0.13464638821977148,0.7101821117101312,0.10711006254247968,1.0952666392306012,0.1125,0.125
BiTA vs TGN-Last,test_auc_historical,5,1.131250494856367,0.0646954142668952,0.645286421229988,0.1964670583290375,0.9525066309449963,0.135,0.0625
BiTA vs TGN-Last,test_auc_historical,6,0.9701896964879345,0.0634418411388851,0.5960292063286851,0.15876593177388776,0.9622167764484205,0.2,0.03125
BiTA vs TGN-Last,test_auc_historical,7,1.070993912782647,0.029817082910792488,0.5639966303200128,0.13073561979920564,0.8537813605508685,0.2225,0.015625
BiTA vs TGN-Last,test_auc_historical,8,1.1695937847016673,0.01297520293261911,0.5347351673218157,0.16006829934323305,0.8515913415793623,0.2575,0.0078125
BiTA vs TGN-Last,test_auc_historical,9,1.2655573462417047,0.005261550206563866,0.5570961148762575,0.20502080971995199,0.8135715198014858,0.2875,0.00390625
BiTA vs TGN-Last,test_auc_historical,10,1.1431999659501066,0.005614339685141678,0.5141713521835609,0.1858874024672743,0.7829416187584232,0.3075,0.001953125
BiTA vs TGN-Last,test_auc_historical,11,0.9249274202408903,0.01188862133747773,0.4912699989215611,0.19287643721736247,0.7359614767697678,0.33,0.0009765625
BiTA vs TGN-Last,test_auc_historical,12,0.32695811945098346,0.28146005053046474,0.47971526482938115,0.20653137452379328,0.7407483241391305,0.3175,0.00048828125
BiTA vs TGN-Last,test_auc_historical,13,0.2380352984189594,0.407571326085441,0.4915924080315557,0.23253789352060822,0.7224627113403661,0.37,0.000244140625
BiTA vs TGN-Last,test_auc_historical,14,0.29424844822160123,0.2908750216555063,0.4574810761818686,0.2293879958403767,0.6732210201887924,0.3325,0.0001220703125
BiTA vs TGN-Last,test_auc_historical,15,0.3585348880025053,0.18665217759869704,0.4429038234918547,0.24336188371995418,0.6425152229536814,0.3075,6.103515625e-05
BiTA vs TGN-Last,test_auc_historical,16,0.32512530295684916,0.2130559532012716,0.4635820662974118,0.2729379898913882,0.6584747451692572,0.36,3.0517578125e-05
BiTA vs TGN-Last,test_auc_historical,17,0.3200888227508297,0.20548789755800823,0.45444299424395185,0.2729457844894517,0.648982074581568,0.345,1.52587890625e-05
BiTA vs TGN-Last,test_auc_historical,18,0.37266241363305563,0.1322868191215439,0.41896200733581634,0.28676598130953035,0.4873344657393077,0.2425,7.62939453125e-06
BiTA vs TGN-Last,test_auc_historical,19,0.39299217392011954,0.10388128380531883,0.41796533102508354,0.2969084063512315,0.4872023496536416,0.2525,3.814697265625e-06
BiTA vs TGN-Last,test_auc_historical,20,0.400725874615232,0.08905690144127008,0.43979394420030404,0.3196468046424179,0.4848576180087898,0.2675,1.9073486328125e-06
BiTA vs TGN-Last,test_auc_historical,21,0.3954584395467023,0.0849943558215676,0.4284148660869904,0.33176022175006836,0.4441951467749089,0.2225,9.5367431640625e-07
BiTA vs TGN-Last,test_auc_historical,22,0.41989964277572417,0.062228739620086584,0.42402528821683716,0.34090190623735567,0.42713633021756997,0.23,4.76837158203125e-07
BiTA vs TGN-Last,test_auc_historical,23,0.43453232251553386,0.0489900654807456,0.4065061190908706,0.3571000101213009,0.41820651566666556,0.2075,2.384185791015625e-07
BiTA vs TGN-Last,test_auc_historical,24,0.4369161325253512,0.04314972340214012,0.40922179338509523,0.3786269904891026,0.4123960488525017,0.23,1.1920928955078125e-07
BiTA vs TGN-Last,test_auc_historical,25,0.40711316101335343,0.05297853008219666,0.40711316101335354,0.40711316101335343,0.40711316101335343,0.0,5.960464477539063e-08
