metric,n,mean_cat_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
nn_test_link_mrr,10,0.5249019607901573,0.6744576632976532,0.1495557025074959,-0.04328766144710433,0.3423990664620961,0.5547803275264288,1.7543694360377227,0.11326213045703364,14.0,0.193359375,1.0,
nn_test_link_hits1,10,0.38819142324425104,0.5892635177128651,0.20107209446861404,-0.060993658456220595,0.46313784739344865,0.5488634427458534,1.7356586034783186,0.11664410083643666,13.0,0.16015625,1.0,
nn_test_link_hits3,10,0.6045214418893723,0.7314947172156618,0.12697327532628963,-0.03267376159732041,0.2866203122498997,0.568950173637347,1.799178423842303,0.10552779652437877,14.0,0.193359375,1.0,
nn_test_link_hits10,10,0.7826134244872592,0.8112647607209447,0.028651336233685525,-0.05725438284636984,0.1145570553137409,0.2385863416259208,0.7544762581449505,0.4698434532235634,24.0,0.76953125,1.0,
test_auc_random_cc,10,0.9342077544316659,0.9542844015869344,0.020076647155268523,-0.004337022546689648,0.044490316857226694,0.5882756818859433,1.8602910468482385,0.09576898502460032,10.0,0.083984375,1.0,
test_ap_random_cc,10,0.9252713065587208,0.9534038036807944,0.028132497122073552,0.002162592599211418,0.05410240164493568,0.7749268419819828,2.4505338406644563,0.03672454319337521,9.0,0.064453125,1.0,
test_link_acc_random_cc,10,0.8572745002437836,0.8810628961482205,0.023788395904436842,-0.005788216708146818,0.0533650085170205,0.5753597788599712,1.819447375248306,0.10219279686009279,12.0,0.130859375,1.0,
test_link_f1_random_cc,10,0.8613219037683002,0.8809253332524054,0.019603429484105272,-0.008070682625266598,0.04727754159347714,0.5067352696534966,1.602437622844652,0.14352259452078178,12.0,0.130859375,1.0,
test_auc_historical,10,0.8394800148623556,0.8826420466309972,0.04316203176864171,0.008387897387245685,0.07793616615003773,0.8879087301722082,2.8078139416920473,0.02044993820103105,6.0,0.02734375,1.0,
test_ap_historical,10,0.8049715731107534,0.855548103749069,0.05057653063831541,0.012359253522264087,0.08879380775436674,0.9466993256031854,2.9937261282514234,0.015109317269562054,6.0,0.02734375,0.9821056225215336,
test_link_acc_historical,10,0.7596148220380302,0.8071818625060946,0.047567040468064384,0.00746798738363872,0.08766609355249005,0.8485839010655357,2.683457913118078,0.02506368041590542,4.0,0.013671875,1.0,
test_link_f1_historical,10,0.78668592501374,0.8207802340648636,0.03409430905112344,0.00369446334245168,0.0644941547597952,0.8022935270050399,2.5370748973457338,0.03186333891340062,7.0,0.037109375,1.0,
test_auc_inductive,10,0.8707937886193629,0.9087284522587238,0.03793466363936114,-0.002191232662640069,0.07806055994136235,0.6762920236310799,2.1386231580786292,0.06115803043164828,9.0,0.064453125,1.0,
test_ap_inductive,10,0.8666114821855073,0.9118104689727226,0.04519898678721514,0.0031894374129952247,0.08720853616143505,0.7696680355479671,2.4339040345590184,0.03774011771493248,8.0,0.048828125,1.0,
test_link_acc_inductive,10,0.7605948317893712,0.8068844466114091,0.046289614822038014,0.006792691284308323,0.08578653835976771,0.8383841745556451,2.6512035458360232,0.026424019750881173,5.0,0.01953125,1.0,
test_link_f1_inductive,10,0.7876680650009356,0.8205455438776752,0.03287747887673964,0.0026920084771724674,0.06306294927630682,0.7791540517360164,2.4639014516344817,0.03592794978912224,5.0,0.01953125,1.0,
test_c0_acc,10,0.9445921450151058,0.9589123867069486,0.014320241691842862,-0.004303504924586164,0.03294398830827189,0.5500549379463722,1.7394264421331165,0.11595567900684166,13.0,0.16015625,1.0,
test_c1_acc,10,0.9900990099009901,0.8647524752475247,-0.12534653465346537,-0.2617674034885005,0.011074334181569778,-0.657285868134125,-2.0785204171449227,0.06742668348731838,5.0,0.078125,1.0,
test_c2_acc,10,0.9971264367816092,1.0,0.0028735632183907955,-0.0036268883988454033,0.009374014835626995,0.316227766016838,1.0,0.3434363961379136,0.0,1.0,1.0,
test_c3_acc,10,0.8931700542860751,0.9055043555106679,0.012334301224592826,-0.04115913327811822,0.06582773572730388,0.16494412152369337,0.5215991106704739,0.6145410390700882,22.0,1.0,1.0,
test_c0_precision,10,0.8138493629814476,0.7380505680270859,-0.07579879495436168,-0.19280088228762843,0.04120329237890509,-0.4634378126982348,-1.4655190419729254,0.17682297581610623,14.0,0.193359375,1.0,
test_c1_precision,10,0.7501758404671148,0.9041752969141499,0.15399945644703505,-0.023298817075235373,0.3312977299693055,0.6213516493790187,1.9648864399400463,0.08100556682580409,8.0,0.044921875,1.0,
test_c2_precision,10,0.8431522293015228,0.8281599226322441,-0.014992306669278676,-0.29165225495911606,0.26166764162055867,-0.038765459831080706,-0.12258714760998116,0.9051277747699814,27.0,1.0,1.0,
