metric,baseline,primary,mean_diff,ci95_lo,ci95_hi,dz,p_raw,p_holm,sig
test_ap_inductive,DyRep,False,0.0598998940882902,-0.0008339456109119,0.1206337337874924,0.7055342312488878,0.02734375,,
test_auc_inductive,TGN-Last,False,0.0403418959868074,0.0146071057762152,0.0660766861973996,1.1213945657981297,0.013671875,,
test_auc_inductive,TGN-Mean,False,0.0357216774303054,0.0114082401472869,0.0600351147133239,1.0510134106160811,0.02734375,,
test_auc_inductive,TGN-Attention,False,0.0303290818406595,0.0064337445039296,0.0542244191773894,0.9079645054064938,0.02734375,,
test_auc_inductive,DyRep,False,0.0492291567467417,-0.0085712047084915,0.1070295182019749,0.6092767651837154,0.037109375,,
test_category_accuracy,TGN-Last,False,0.1114090687469527,2.052832640075941e-05,0.2227976091675046,0.7154887425133051,0.009765625,,
test_category_accuracy,TGN-Mean,False,0.1164992686494393,0.004229595100323,0.2287689421985555,0.7423069270122069,0.009765625,,
test_category_accuracy,TGN-Attention,False,0.0769088249634324,-0.0415722117600784,0.1953898616869433,0.4643549768733839,0.029296875,,
test_category_accuracy,DyRep,False,0.0870599707459775,-0.0289739930245246,0.2030939345164797,0.5367303613786523,0.013671875,,
test_f1_macro,TGN-Last,False,0.0773777606408875,0.010444497728093,0.1443110235536819,0.8269836705125455,0.02734375,,
test_f1_macro,TGN-Mean,False,0.0788389936617837,0.0032921940554511,0.1543857932681163,0.7465308771466074,0.037109375,,
test_f1_macro,TGN-Attention,False,0.0633140392241836,-0.0027124128997337,0.1293404913481011,0.6859695432205525,0.064453125,,
test_f1_macro,DyRep,False,0.0765413869636952,0.0322971883068483,0.1207855856205421,1.23755003863267,0.001953125,,
test_link_acc,TGN-Last,False,0.0242515845928815,0.0021459122212408,0.0463572569645221,0.7848003095126845,0.048828125,,
test_link_acc,TGN-Mean,False,0.0227059970745977,0.0018071163358093,0.0436048778133861,0.7772134793858296,0.048828125,,
test_link_acc,TGN-Attention,False,0.0268600682593856,0.0034867592315122,0.050233377287259,0.8220716759137985,0.01953125,,
test_link_acc,DyRep,False,0.0443003412969283,-0.0154454025931214,0.1040460851869781,0.5304236422586905,0.02734375,,
test_link_f1,TGN-Last,False,0.0261131205872915,0.0039865299073136,0.0482397112672694,0.8442421798613203,0.037109375,,
test_link_f1,TGN-Mean,False,0.0243114294512936,0.0031309349450236,0.0454919239575635,0.8211021204841658,0.048828125,,
test_link_f1,TGN-Attention,False,0.0276495118713726,0.0025048232305518,0.0527942005121934,0.786618181932621,0.037109375,,
test_link_f1,DyRep,False,0.0591610054286686,-0.0263668969195357,0.1446889077768731,0.494823708235779,0.02734375,,
test_link_hits1,TGN-Last,False,0.1698683568990736,0.0415703466507523,0.298166367147395,0.9471425315049412,0.037109375,,
test_link_hits1,TGN-Mean,False,0.139297903461726,0.0212905153115036,0.2573052916119484,0.8444193095921245,0.02734375,,
test_link_hits1,TGN-Attention,False,0.1477620672842516,0.0143333907924375,0.2811907437760657,0.7922031309272286,0.064453125,,
test_link_hits1,DyRep,False,0.0829839102876645,-0.1367190760236954,0.3026868965990245,0.2701971161402529,0.322265625,,
test_link_hits10,TGN-Last,False,-0.0186153096050706,-0.0764357203572854,0.0392051011471441,-0.2303095067905455,0.4921875,,
test_link_hits10,TGN-Mean,False,-0.0135641150658215,-0.069364128034764,0.0422358979031209,-0.1738921349555388,0.431640625,,
test_link_hits10,TGN-Attention,False,0.0409361287176987,-0.0300023702201243,0.1118746276555217,0.4128074715476702,0.275390625,,
test_link_hits10,DyRep,False,0.1011116528522672,-0.0790158269305876,0.2812391326351221,0.4015540506599732,0.4921875,,
test_link_hits3,TGN-Last,False,0.0742077035592394,0.0114103400735151,0.1370050670449636,0.8453379293446546,0.037109375,,
test_link_hits3,TGN-Mean,False,0.0634519746465139,-0.0021544785838532,0.129058427876881,0.6918649923274514,0.083984375,,
test_link_hits3,TGN-Attention,False,0.0964212579229644,0.0159498677546033,0.1768926480913255,0.8571445403547956,0.048828125,,
test_link_hits3,DyRep,False,0.1185763042418333,-0.074494259529695,0.3116468680133616,0.439343918963492,0.193359375,,
test_link_mrr,TGN-Last,False,0.1092256218194961,0.0252307405645999,0.1932205030743924,0.9302388634898154,0.037109375,,
test_link_mrr,TGN-Mean,False,0.0897676616907119,0.0100586082208422,0.1694767151605817,0.8056288956882784,0.037109375,,
test_link_mrr,TGN-Attention,False,0.1118438988924026,0.0174631063960759,0.2062246913887293,0.8477180933448817,0.037109375,,
test_link_mrr,DyRep,False,0.0945906147360801,-0.0981420836613032,0.2873233131334635,0.3510875427684259,0.232421875,,
