DetectTime,FlowCount,SourceIP,TargetIP,Category,Proto,Port
2019-03-15 00:26:45+00:00,700.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 00:26:35+00:00,250.0,128.221.167.51,65.168.199.147,Recon.Scanning,tcp,OtherPort
2019-03-15 00:26:53+00:00,25700.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-15 00:23:09+00:00,50.0,235.178.228.214,224.177.201.239,Recon.Scanning,tcp,OtherPort
2019-03-15 00:25:10+00:00,50.0,104.160.160.182,224.51.184.89,Recon.Scanning,tcp,OtherPort
2019-03-15 00:28:47+00:00,5500.0,185.186.169.243,142.252.121.38,Recon.Scanning,tcp,OtherPort
2019-03-15 00:27:54+00:00,900.0,253.70.159.203,142.252.76.214,Recon.Scanning,tcp,OtherPort
2019-03-15 01:21:56+01:00,6.0,71.48.17.50,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:21:27+01:00,5.0,239.241.254.136,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:20:12+01:00,9.0,82.56.109.58,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:21:51+01:00,7.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:19:04+01:00,8.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:19:10+01:00,6.0,67.186.25.46,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:20:04+01:00,4.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:19:35+01:00,4.0,184.110.242.241,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:19:49+01:00,4.0,118.161.3.83,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:21:38+01:00,29.0,67.186.25.40,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:20:33+01:00,63.0,185.164.64.7,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 00:31:45+00:00,689.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 01:32:23+01:00,82222.0,69.255.83.38,142.229.19.129,Anomaly.Traffic,tcp,3385.0
2019-03-15 01:32:58+01:00,4738.0,67.205.216.43,143.166.101.40,Anomaly.Traffic,tcp,20018.0
2019-03-15 01:33:29+01:00,9705.0,77.123.201.7,143.166.39.217,Anomaly.Traffic,tcp,3502.0
2019-03-15 01:33:29+01:00,10159.0,42.147.225.111,143.166.227.68,Anomaly.Traffic,tcp,3651.0
2019-03-15 00:34:23+00:00,1661.0,224.177.31.162,12.125.12.13,Availability.DDoS,udp,OtherPort
2019-03-15 01:34:48+01:00,8486.0,69.255.83.38,142.229.104.234,Anomaly.Traffic,tcp,3385.0
2019-03-15 01:24:43+01:00,4.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:05+01:00,10.0,71.48.17.50,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:18+01:00,7.0,89.231.104.116,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:38+01:00,11.0,185.192.58.77,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:38+01:00,13.0,185.84.109.191,142.252.32.63,Recon.Scanning,udp,OtherPort
2019-03-15 01:24:40+01:00,4.0,252.172.205.240,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:44+01:00,4.0,99.61.207.93,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:34+01:00,8.0,185.185.131.198,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:08+01:00,7.0,71.48.17.48,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:24:26+01:00,11.0,71.48.17.49,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:56+01:00,4.0,226.153.85.129,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:35+01:00,4.0,185.183.222.26,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:25:04+01:00,10.0,185.185.131.204,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:24:04+01:00,13.0,67.186.25.46,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:24:40+01:00,5.0,156.228.12.215,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:49+01:00,8.0,67.205.217.7,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:24:49+01:00,4.0,58.44.38.89,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:23:31+01:00,33.0,82.56.109.58,142.252.32.63,Recon.Scanning,tcp,OtherPort
2019-03-15 01:35:14+01:00,4681.0,67.205.216.43,143.166.241.27,Anomaly.Traffic,tcp,20034.0
2019-03-15 01:35:41+01:00,10059.0,77.123.201.7,143.166.239.69,Anomaly.Traffic,tcp,3501.0
2019-03-15 00:36:46+00:00,636.0,224.177.31.162,90.47.96.70,Availability.DDoS,udp,OtherPort
2019-03-15 01:37:08+01:00,8149.0,69.255.83.38,142.229.100.66,Anomaly.Traffic,tcp,3385.0
2019-03-15 00:36:26+00:00,100.0,224.177.107.17,231.134.141.177,Recon.Scanning,tcp,OtherPort
2019-03-15 00:36:54+00:00,41750.0,185.186.169.243,143.166.153.87,Recon.Scanning,tcp,OtherPort
2019-03-15 00:29:12+00:00,2600.0,38.98.44.186,142.229.122.230,Recon.Scanning,tcp,OtherPort
2019-03-15 00:28:31+00:00,100.0,104.160.160.182,224.51.184.89,Recon.Scanning,tcp,OtherPort
2019-03-15 00:35:48+00:00,6150.0,39.7.139.171,128.221.79.132,Recon.Scanning,tcp,OtherPort
2019-03-15 00:36:37+00:00,1050.0,253.70.159.203,142.252.76.193,Recon.Scanning,tcp,OtherPort
2019-03-15 00:36:54+00:00,600.0,179.227.104.146,80.159.35.223,Recon.Scanning,tcp,OtherPort
2019-03-15 00:36:46+00:00,300.0,128.221.167.51,65.168.199.147,Recon.Scanning,tcp,OtherPort
2019-03-15 00:33:44+00:00,250.0,98.171.35.223,143.166.138.110,Recon.Scanning,tcp,OtherPort
2019-03-15 01:37:32+01:00,4474.0,67.205.216.43,143.166.249.153,Anomaly.Traffic,tcp,20015.0
2019-03-15 01:37:48+01:00,9209.0,42.147.225.111,143.166.127.239,Anomaly.Traffic,tcp,3652.0
